^SPX (Standard & Poors 500 Index),2933.68,0.0001
Apr 24 2019 @ 05:45 ET,Bid,2904.86,Ask,2953.74,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/24/2019,SPXW190424C01700000,0,0,1232.1,1236.3,0,4.885,0.9994,0,0,1700.000,SPXW190424P01700000,0,0,0,0.05,0,4.4516,-0.0002,0,16150
04/24/2019,SPXW190424C01800000,0,0,1132.1,1136.3,0,4.4015,0.9993,0,0,1800.000,SPXW190424P01800000,0,0,0,0.05,0,4.001,-0.0002,0,26
04/24/2019,SPXW190424C01850000,0,0,1082.1,1086.3,0,4.1555,0.9993,0,0,1850.000,SPXW190424P01850000,0,0,0,0.05,0,3.8038,-0.0003,0,30
04/24/2019,SPXW190424C01900000,0,0,1032.1,1036.3,0,3.9256,0.9993,0,21,1900.000,SPXW190424P01900000,0,0,0,0.05,0,3.5699,-0.0002,0,15
04/24/2019,SPXW190424C01950000,0,0,982.1,986.3,0,3.7024,0.9992,0,0,1950.000,SPXW190424P01950000,0,0,0,0.05,0,3.376,-0.0003,0,58
04/24/2019,SPXW190424C02000000,0,0,932.1,936.3,0,3.4861,0.9992,0,0,2000.000,SPXW190424P02000000,0,0,0,0.05,0,3.1856,-0.0003,0,53
04/24/2019,SPXW190424C02050000,0,0,882.1,886.3,0,3.2644,0.9992,0,0,2050.000,SPXW190424P02050000,0,0,0,0.05,0,3.001,-0.0003,0,23
04/24/2019,SPXW190424C02100000,0,0,832.1,836.3,0,3.0531,0.9991,0,0,2100.000,SPXW190424P02100000,0,0,0,0.05,0,2.7965,-0.0003,0,8
04/24/2019,SPXW190424C02150000,0,0,782.1,786.3,0,2.8458,0.9991,0,0,2150.000,SPXW190424P02150000,0,0,0,0.05,0,2.6098,-0.0003,0,3516
04/24/2019,SPXW190424C02200000,0,0,732.1,736.3,0,2.6454,0.999,0,0,2200.000,SPXW190424P02200000,0,0,0,0.05,0,2.4435,-0.0004,0,1771
04/24/2019,SPXW190424C02250000,0,0,682.1,686.3,0,2.4505,0.999,0,0,2250.000,SPXW190424P02250000,0,0,0,0.05,0,2.2569,-0.0004,0,15
04/24/2019,SPXW190424C02275000,0,0,657.1,661.3,0,2.3535,0.999,0,0,2275.000,SPXW190424P02275000,0,0,0,0.05,0,2.1641,-0.0004,0,0
