^SPX (Standard & Poors 500 Index),2933.68,0.0001,,,,,,,,,,,
Apr 24 2019 @ 05:45 ET,Bid,2904.86,Ask,2953.74,Size,1x1,Vol,,,,,,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
SPXW190424C01700000,0,0,1232.1,1236.3,0,0,SPXW190424P01700000,0,0,0,0.05,0,16150
SPXW190424C01800000,0,0,1132.1,1136.3,0,0,SPXW190424P01800000,0,0,0,0.05,0,26
SPXW190424C01850000,0,0,1082.1,1086.3,0,0,SPXW190424P01850000,0,0,0,0.05,0,30
SPXW190424C01900000,0,0,1032.1,1036.3,0,21,SPXW190424P01900000,0,0,0,0.05,0,15
SPXW190424C01950000,0,0,982.1,986.3,0,0,SPXW190424P01950000,0,0,0,0.05,0,58
SPXW190424C02000000,0,0,932.1,936.3,0,0,SPXW190424P02000000,0,0,0,0.05,0,53
SPXW190424C02050000,0,0,882.1,886.3,0,0,SPXW190424P02050000,0,0,0,0.05,0,23
SPXW190424C02100000,0,0,832.1,836.3,0,0,SPXW190424P02100000,0,0,0,0.05,0,8
SPXW190424C02150000,0,0,782.1,786.3,0,0,SPXW190424P02150000,0,0,0,0.05,0,3516
SPXW190424C02200000,0,0,732.1,736.3,0,0,SPXW190424P02200000,0,0,0,0.05,0,1771
SPXW190424C02250000,0,0,682.1,686.3,0,0,SPXW190424P02250000,0,0,0,0.05,0,15
SPXW190424C02275000,0,0,657.1,661.3,0,0,SPXW190424P02275000,0,0,0,0.05,0,0
SPXW190424C02300000,0,0,632.1,636.3,0,0,SPXW190424P02300000,0,0,0,0.05,0,14
SPXW190424C02325000,0,0,607.1,611.3,0,0,SPXW190424P02325000,0,0,0,0.05,0,0
SPXW190424C02350000,0,0,582.1,586.3,0,0,SPXW190424P02350000,0,0,0,0.05,0,16
SPXW190424C02375000,0,0,557.1,561.3,0,0,SPXW190424P02375000,0,0,0,0.05,0,22
SPXW190424C02400000,0,0,532.1,536.3,0,1,SPXW190424P02400000,0,0,0,0.05,0,5574
SPXW190424C02425000,0,0,507.1,511.3,0,1,SPXW190424P02425000,0,0,0,0.05,0,1064
SPXW190424C02450000,0,0,482.1,486.3,0,0,SPXW190424P02450000,0,0,0,0.05,0,121
SPXW190424C02460000,0,0,472.1,476.3,0,0,SPXW190424P02460000,0,0,0,0.05,0,1
SPXW190424C02470000,0,0,462.1,466.3,0,0,SPXW190424P02470000,0,0,0,0.05,0,200
SPXW190424C02475000,0,0,457.1,461.3,0,0,SPXW190424P02475000,0,0,0,0.05,0,8
SPXW190424C02480000,0,0,452.1,456.3,0,0,SPXW190424P02480000,0,0,0,0.05,0,0
SPXW190424C02490000,0,0,442.1,446.3,0,0,SPXW190424P02490000,0,0,0,0.05,0,0
SPXW190424C02500000,0,0,432.1,436.3,0,1,SPXW190424P02500000,0,0,0,0.05,0,1013
SPXW190424C02510000,0,0,422.1,426.3,0,0,SPXW190424P02510000,0,0,0,0.05,0,204
SPXW190424C02520000,0,0,412.1,416.3,0,0,SPXW190424P02520000,0,0,0,0.05,0,79
SPXW190424C02525000,0,0,407.1,411.3,0,0,SPXW190424P02525000,0,0,0,0.05,0,68
SPXW190424C02530000,0,0,402.1,406.3,0,0,SPXW190424P02530000,0,0,0,0.05,0,52
SPXW190424C02540000,0,0,392.1,396.3,0,0,SPXW190424P02540000,0,0,0,0.05,0,19
SPXW190424C02550000,369.63,11.48,382.1,386.3,3,3,SPXW190424P02550000,0,0,0,0.05,0,11
SPXW190424C02560000,0,0,372.1,376.3,0,0,SPXW190424P02560000,0,0,0,0.05,0,46
SPXW190424C02570000,0,0,362.1,366.3,0,0,SPXW190424P02570000,0,0,0,0.05,0,1
SPXW190424C02575000,0,0,357.1,361.3,0,0,SPXW190424P02575000,0,0,0,0.05,0,714
SPXW190424C02580000,0,0,352.1,356.3,0,0,SPXW190424P02580000,0,0,0,0.05,0,306
SPXW190424C02590000,0,0,342.1,346.3,0,0,SPXW190424P02590000,0,0,0,0.05,0,736
SPXW190424C02595000,0,0,337.1,341.3,0,0,SPXW190424P02595000,0,0,0,0.05,0,27
SPXW190424C02600000,0,0,332.1,336.3,0,0,SPXW190424P02600000,0,0,0,0.05,0,89
SPXW190424C02605000,0,0,327.1,331.3,0,0,SPXW190424P02605000,0,0,0,0.05,0,211
SPXW190424C02610000,0,0,322.1,326.3,0,13,SPXW190424P02610000,0,0,0,0.05,0,476
SPXW190424C02615000,0,0,317.1,321.3,0,0,SPXW190424P02615000,0,0,0,0.05,0,601
SPXW190424C02620000,0,0,312.1,316.3,0,0,SPXW190424P02620000,0,0,0,0.05,0,1732
SPXW190424C02625000,0,0,307.1,311.3,0,0,SPXW190424P02625000,0,0,0,0.05,0,794
SPXW190424C02630000,0,0,302.1,306.3,0,0,SPXW190424P02630000,0,0,0,0.05,0,253
SPXW190424C02635000,284,10.85,297.1,301.3,3,33,SPXW190424P02635000,0,0,0,0.05,0,370
SPXW190424C02640000,278.3,10.15,292.1,296.3,3,0,SPXW190424P02640000,0,0,0,0.05,0,759
SPXW190424C02645000,0,0,287.1,291.3,0,0,SPXW190424P02645000,0,0,0,0.05,0,1173
SPXW190424C02650000,0,0,282.1,286.3,0,0,SPXW190424P02650000,0,0,0,0.05,0,309
SPXW190424C02655000,0,0,277.1,281.3,0,0,SPXW190424P02655000,0,0,0,0.05,0,295
SPXW190424C02660000,0,0,272.1,276.3,0,0,SPXW190424P02660000,0,0,0,0.05,0,832
SPXW190424C02665000,0,0,267.1,271.3,0,0,SPXW190424P02665000,0,0,0,0.05,0,86
SPXW190424C02670000,0,0,262.1,266.3,0,0,SPXW190424P02670000,0.05,0.025,0,0.05,10,3363
SPXW190424C02675000,243.9,11.3,257.1,261.3,3,3,SPXW190424P02675000,0,0,0,0.05,0,2406
SPXW190424C02680000,0,0,252.1,256.3,0,0,SPXW190424P02680000,0,0,0,0.05,0,131
SPXW190424C02685000,0,0,247.1,251.3,0,0,SPXW190424P02685000,0,0,0,0.05,0,1118
SPXW190424C02690000,0,0,242.1,246.3,0,0,SPXW190424P02690000,0,0,0,0.05,0,2552
SPXW190424C02695000,0,0,237.1,241.3,0,0,SPXW190424P02695000,0,0,0,0.05,0,101
SPXW190424C02700000,0,0,232.1,236.3,0,3,SPXW190424P02700000,0,0,0,0.05,0,6413
SPXW190424C02705000,0,0,227.1,231.3,0,0,SPXW190424P02705000,0,0,0,0.05,0,401
SPXW190424C02710000,0,0,222.1,226.3,0,0,SPXW190424P02710000,0,0,0,0.05,0,1341
SPXW190424C02715000,0,0,217.1,221.3,0,1,SPXW190424P02715000,0,0,0,0.05,0,218
SPXW190424C02720000,0,0,212.1,216.3,0,0,SPXW190424P02720000,0,0,0,0.05,0,175
SPXW190424C02725000,0,0,207.1,211.3,0,0,SPXW190424P02725000,0.04,-0.01,0,0.05,3,2451
SPXW190424C02730000,0,0,202.1,206.3,0,0,SPXW190424P02730000,0,0,0,0.05,0,1691
SPXW190424C02735000,0,0,197.1,201.3,0,0,SPXW190424P02735000,0.05,0,0,0.05,3,233
SPXW190424C02740000,178.4,10.45,192.1,196.3,3,1,SPXW190424P02740000,0.05,0,0,0.05,56,219
SPXW190424C02745000,0,0,187.1,191.3,0,1,SPXW190424P02745000,0.05,0,0,0.05,89,129
SPXW190424C02750000,169.72,11.77,182.1,186.3,5,6,SPXW190424P02750000,0.05,-0.025,0,0.05,7,1666
SPXW190424C02755000,0,0,177.1,181.3,0,25,SPXW190424P02755000,0.05,-0.025,0,0.05,19,598
SPXW190424C02760000,0,0,172.1,176.3,0,5,SPXW190424P02760000,0.03,-0.045,0,0.05,51,875
SPXW190424C02765000,0,0,167.1,171.3,0,1,SPXW190424P02765000,0.05,-0.025,0,0.05,164,1007
SPXW190424C02770000,0,0,162.1,166.3,0,3,SPXW190424P02770000,0.05,-0.025,0,0.05,1798,5145
SPXW190424C02775000,157.81,24.86,157.1,161.3,1,7,SPXW190424P02775000,0.05,-0.075,0,0.05,5004,6958
SPXW190424C02780000,0,0,152.1,156.3,0,0,SPXW190424P02780000,0.05,-0.075,0,0.05,978,1790
SPXW190424C02785000,0,0,147.1,151.3,0,1,SPXW190424P02785000,0.05,-0.05,0,0.1,345,474
SPXW190424C02790000,143.13,25.48,142.4,146.3,5,6,SPXW190424P02790000,0.05,-0.05,0,0.1,2100,2835
SPXW190424C02795000,115.76,2.76,137.4,141.3,2,20,SPXW190424P02795000,0.05,-0.05,0,0.1,63,822
